Food_Item_ID,foodcode,modcode,foodname,portionwgt,Portion_Factor,portiondesc,_203 Protein (g),_204 Total Fat (g),_205 Carbohydrate (g),"_269 Sugars, total (g)","_291 Fiber, total dietary (g)","_606 Fatty acids, total saturated (g)",_301 Calcium (mg),_307 Sodium (mg)
45,11432000,000000,"Yogurt, blueberry, lowfat",227.00,2.27,container (8 oz),9.92,2.45,43.24,43.24,0.00,1.58,345.04,131.66
46,11432500,000000,"Yogurt, blueberry, lowfat, low calorie sweetener",227.00,2.27,container (8 oz),11.03,3.20,42.22,6.58,0.00,2.06,345.04,131.66
47,11433000,000000,"Yogurt, blueberry, fat free",227.00,2.27,container (8 oz),9.99,0.45,43.13,43.13,0.00,0.27,345.04,131.66
48,11433500,000000,"Yogurt, blueberry, light (fat free, low calorie sweetener)",170.00,1.70,container (6 oz),6.36,0.29,13.40,11.85,0.68,0.16,227.80,90.10
50,11446000,000000,Fruit and low fat yogurt parfait,149.00,1.49,McDonald's parfait,5.01,1.50,23.63,17.40,1.64,0.78,156.45,73.01
51,11460160,000000,"Frozen yogurt, chocolate, low fat",200.00,2.00,cup,10.48,3.90,43.58,37.64,3.20,2.44,312.00,116.00
52,11460170,000000,"Frozen yogurt, other flavors, low fat",200.00,2.00,cup,8.92,2.64,41.96,41.90,0.00,1.70,312.00,120.00
53,11460200,000000,"Frozen yogurt, chocolate, nonfat",159.00,1.59,cup,7.00,1.27,31.32,20.05,3.18,0.80,252.81,128.79
54,11460250,000000,"Frozen yogurt, other flavors, with sorbet",75.00,0.75,Haagen-Dazs bar (2.3 fl oz),2.78,2.56,20.01,15.55,0.38,1.54,85.50,39.75
55,11460300,000000,"Frozen yogurt, other flavors, nonfat",159.00,1.59,cup,7.01,0.00,44.42,14.02,11.77,0.00,233.73,174.90
56,11460400,000000,"Frozen yogurt, chocolate, nonfat, low-calorie sweetener",186.00,1.86,cup,8.18,1.49,36.64,23.45,3.72,0.94,295.74,150.66
57,11460410,000000,"Frozen yogurt, other flavors, nonfat, low-calorie sweetener",186.00,1.86,cup,8.18,1.49,36.64,23.45,3.72,0.91,295.74,150.66
58,11460430,000000,"Frozen yogurt, chocolate, whole milk",174.00,1.74,cup,5.22,6.26,37.58,33.48,4.00,3.95,174.00,109.62
59,11460440,000000,"Frozen yogurt, other flavors, whole milk",174.00,1.74,cup,5.22,6.26,37.58,34.66,0.00,4.05,174.00,109.62
60,11461000,000000,"Frozen yogurt, chocolate-coated",41.00,0.41,bar,1.32,6.73,11.86,11.65,0.08,5.34,45.92,27.88
61,11461100,000000,"Frozen yogurt, carob-coated",41.00,0.41,bar,2.02,4.66,12.87,10.77,0.37,3.75,73.39,37.31
62,11461200,000000,"Frozen yogurt, sandwich",85.00,0.85,sandwich,3.94,4.36,32.03,22.01,0.34,2.35,95.20,56.95
63,11461250,000000,"Frozen yogurt, cone, chocolate",118.00,1.18,medium cone,6.08,10.76,37.01,26.37,1.77,6.38,152.21,125.07
64,11461260,000000,"Frozen yogurt, cone, other flavors",118.00,1.18,medium cone,5.29,6.35,37.17,28.55,0.24,3.63,154.57,133.33
65,11461270,000000,"Frozen yogurt, cone, other flavors, low fat",118.00,1.18,medium cone,6.39,2.19,13.30,8.24,0.24,1.20,205.30,95.57
66,11461280,000000,"Frozen yogurt, cone, chocolate, low fat",118.00,1.18,medium cone,6.37,2.64,29.67,21.32,1.89,1.44,174.63,82.59
67,11511100,000000,"Chocolate milk, whole",250.00,2.50,cup,7.92,8.48,25.85,23.85,2.00,5.26,280.00,150.00
68,11511200,000000,"Chocolate milk, reduced fat (2%)",250.00,2.50,cup,7.48,4.75,30.33,23.88,1.75,2.94,272.50,165.00
69,11511300,000000,"Chocolate milk, fat free (skim)",250.00,2.50,cup,8.55,0.70,27.35,25.38,1.25,0.44,287.50,97.50
70,11511400,000000,"Chocolate milk, low fat (1%)",250.00,2.50,cup (school milk carton),8.10,2.50,31.50,24.85,1.25,1.54,290.00,152.50
71,11512000,000000,"Hot chocolate, homemade, with whole milk",250.00,2.50,cup,8.48,8.33,30.35,27.15,2.25,4.79,265.00,100.00
72,11512500,000000,"Hot chocolate, Puerto Rican style, with whole milk",240.00,2.40,cup,9.77,16.75,25.25,23.42,1.20,10.03,352.79,148.79
73,11512500,206723,"Hot chocolate, Puerto Rican style, with reduced fat (2%) milk",240.00,2.40,cup,5.06,9.43,18.41,16.92,1.20,5.67,165.59,69.60
74,11512500,206744,"Hot chocolate, Puerto Rican style, with low fat (1%) milk",240.00,2.40,cup,5.16,8.14,18.65,17.09,1.20,4.86,170.39,64.80
75,11513100,000000,"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with whole milk ",250.00,2.50,cup,8.18,7.92,29.67,28.50,1.00,4.75,352.50,127.50
76,11513150,000000,"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with reduced fat (2%) milk ",250.00,2.50,cup,8.50,5.00,29.67,28.53,1.00,3.35,370.00,135.00
77,11513200,000000,"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with low fat (1%) milk ",250.00,2.50,cup,8.68,2.70,30.10,28.85,1.00,1.92,380.00,130.00
78,11513300,000000,"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with fat free (skim) milk ",250.00,2.50,cup,8.68,0.65,29.98,28.53,1.00,0.60,372.50,125.00
79,11513500,000000,"Chocolate milk, homemade, with whole milk ",250.00,2.50,cup,7.52,7.43,32.13,27.50,0.75,4.21,250.00,117.50
80,11513550,000000,"Chocolate milk, homemade, with reduced fat (2%) milk ",250.00,2.50,cup,7.85,4.68,32.13,27.53,0.75,2.89,265.00,125.00
81,11513600,000000,"Chocolate milk, homemade, with low fat (1%) milk ",250.00,2.50,cup,8.00,2.48,32.55,27.85,0.75,1.55,275.00,120.00
82,11513700,000000,"Chocolate milk, homemade, with fat free (skim) milk ",250.00,2.50,cup,8.00,0.55,32.40,27.55,0.75,0.30,270.00,115.00
83,11514100,000000,"Hot chocolate, (Swiss Miss), (Carnation), made from dry mix (with milk & sugar), with water",250.00,2.50,cup,2.30,1.38,28.82,22.55,1.25,0.82,52.50,182.50
83,11514100,000000,"Hot chocolate, (Swiss Miss), (Carnation), made from dry mix (with milk & sugar), with water",206.00,2.06,"packet dry mix, prepared with water",1.90,1.13,23.75,18.58,1.03,0.67,43.26,150.38
84,11514300,000000,"Hot chocolate, (Carnation), (Swiss Miss), (Nutrisystem), made from mix (with milk & low calorie sweetener), with water",250.00,2.50,cup,3.03,0.58,14.03,7.35,1.50,0.35,120.00,180.00
84,11514300,000000,"Hot chocolate, (Carnation), (Swiss Miss), (Nutrisystem), made from mix (with milk & low calorie sweetener), with water",197.00,1.97,"packet dry mix, prepared with water",2.38,0.45,11.05,5.79,1.18,0.27,94.56,141.84
85,11514500,000000,Ovaltine sugar free Hot Cocoa ,249.00,2.49,cup,3.83,0.45,8.86,8.49,0.25,0.27,226.59,109.56
86,11515400,000000,Alba High Calcium Cocoa,239.00,2.39,cup,5.83,0.69,13.46,12.91,0.24,0.41,341.77,160.13
86,11515400,000000,Alba High Calcium Cocoa,197.00,1.97,"packet dry mix, prepared with water",4.81,0.57,11.09,10.64,0.20,0.34,281.71,131.99
87,11516000,000000,"Chocolate Milk, (Nestle's Quik), (Swiss Miss), with 1% fat milk",250.00,2.50,cup,10.08,2.70,21.55,17.40,1.00,1.74,372.50,222.50
88,11518000,000000,"Chocolate beverage, (Jenny Craig), (Alba), from dry mix with milk and low calorie sweetener, water added",276.00,2.76,cup,7.12,0.75,14.63,9.38,2.76,0.53,408.47,198.71
89,11519050,000000,"Milk, whole, with strawberry or vanilla flavor",250.00,2.50,cup,7.25,7.50,31.50,31.32,0.00,4.28,260.00,107.50
90,11519105,000000,"Milk, reduced fat (2%), with strawberry or vanilla flavor",250.00,2.50,cup,7.62,4.58,30.20,28.50,1.00,2.81,410.00,122.50
91,11519200,000000,"Milk, low fat (1%) with strawberry or vanilla flavor",250.00,2.50,cup,7.75,2.28,31.93,31.65,0.00,1.45,287.50,110.00
92,11519205,000000,"Milk, fat free (skim), with strawberry or vanilla flavor",250.00,2.50,cup,7.75,0.23,31.80,31.35,0.00,0.13,280.00,105.00
93,11521000,000000,"Malted milk, chocolate, with 2% milk",235.00,2.35,cup,8.04,5.01,26.70,23.41,0.94,2.94,267.90,131.60
94,11522000,000000,"Malted milk, natural flavor, with 2% milk",235.00,2.35,cup,9.75,5.90,23.76,19.86,0.00,3.38,312.55,171.55
