foodname,portiondesc,Protein,Total Fat,Carbohydrate,Total Sugar,Dietary Fiber,Saturated Fat,Calcium,Sodium
"Frozen yogurt, carob-coated",bar,2.02,4.66,12.87,10.77,0.37,3.75,73.39,37.31
"Frozen yogurt, sandwich",sandwich,3.94,4.36,32.03,22.01,0.34,2.35,95.20,56.95
"Frozen yogurt, cone, chocolate",medium cone,6.08,10.76,37.01,26.37,1.77,6.38,152.21,125.07
"Frozen yogurt, cone, other flavors",medium cone,5.29,6.35,37.17,28.55,0.24,3.63,154.57,133.33
"Frozen yogurt, cone, other flavors, low fat",medium cone,6.39,2.19,13.30,8.24,0.24,1.20,205.30,95.57
"Frozen yogurt, cone, chocolate, low fat",medium cone,6.37,2.64,29.67,21.32,1.89,1.44,174.63,82.59
"Chocolate milk, whole",cup,7.92,8.48,25.85,23.85,2.00,5.26,280.00,150.00
"Chocolate milk, reduced fat (2%)",cup,7.48,4.75,30.33,23.88,1.75,2.94,272.50,165.00
"Chocolate milk, fat free (skim)",cup,8.55,0.70,27.35,25.38,1.25,0.44,287.50,97.50
"Chocolate milk, low fat (1%)",cup (school milk carton),8.10,2.50,31.50,24.85,1.25,1.54,290.00,152.50
"Hot chocolate, homemade, with whole milk",cup,8.48,8.33,30.35,27.15,2.25,4.79,265.00,100.00
"Hot chocolate, Puerto Rican style, with whole milk",cup,9.77,16.75,25.25,23.42,1.20,10.03,352.79,148.79
"Hot chocolate, Puerto Rican style, with reduced fat (2%) milk",cup,5.06,9.43,18.41,16.92,1.20,5.67,165.59,69.60
"Hot chocolate, Puerto Rican style, with low fat (1%) milk",cup,5.16,8.14,18.65,17.09,1.20,4.86,170.39,64.80
"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with whole milk ",cup,8.18,7.92,29.67,28.50,1.00,4.75,352.50,127.50
"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with reduced fat (2%) milk ",cup,8.50,5.00,29.67,28.53,1.00,3.35,370.00,135.00
"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with low fat (1%) milk ",cup,8.68,2.70,30.10,28.85,1.00,1.92,380.00,130.00
"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with fat free (skim) milk ",cup,8.68,0.65,29.98,28.53,1.00,0.60,372.50,125.00
"Chocolate milk, homemade, with whole milk ",cup,7.52,7.43,32.13,27.50,0.75,4.21,250.00,117.50
"Chocolate milk, homemade, with reduced fat (2%) milk ",cup,7.85,4.68,32.13,27.53,0.75,2.89,265.00,125.00
"Chocolate milk, homemade, with low fat (1%) milk ",cup,8.00,2.48,32.55,27.85,0.75,1.55,275.00,120.00
"Chocolate milk, homemade, with fat free (skim) milk ",cup,8.00,0.55,32.40,27.55,0.75,0.30,270.00,115.00
"Hot chocolate, (Swiss Miss), (Carnation), made from dry mix (with milk & sugar), with water",cup,2.30,1.38,28.82,22.55,1.25,0.82,52.50,182.50
"Hot chocolate, (Swiss Miss), (Carnation), made from dry mix (with milk & sugar), with water","packet dry mix, prepared with water",1.90,1.13,23.75,18.58,1.03,0.67,43.26,150.38
"Hot chocolate, (Carnation), (Swiss Miss), (Nutrisystem), made from mix (with milk & low calorie sweetener), with water",cup,3.03,0.58,14.03,7.35,1.50,0.35,120.00,180.00
"Hot chocolate, (Carnation), (Swiss Miss), (Nutrisystem), made from mix (with milk & low calorie sweetener), with water","packet dry mix, prepared with water",2.38,0.45,11.05,5.79,1.18,0.27,94.56,141.84
Ovaltine sugar free Hot Cocoa ,cup,3.83,0.45,8.86,8.49,0.25,0.27,226.59,109.56
Alba High Calcium Cocoa,cup,5.83,0.69,13.46,12.91,0.24,0.41,341.77,160.13
Alba High Calcium Cocoa,"packet dry mix, prepared with water",4.81,0.57,11.09,10.64,0.20,0.34,281.71,131.99
"Chocolate Milk, (Nestle's Quik), (Swiss Miss), with 1% fat milk",cup,10.08,2.70,21.55,17.40,1.00,1.74,372.50,222.50
"Chocolate beverage, (Jenny Craig), (Alba), from dry mix with milk and low calorie sweetener, water added",cup,7.12,0.75,14.63,9.38,2.76,0.53,408.47,198.71
"Milk, whole, with strawberry or vanilla flavor",cup,7.25,7.50,31.50,31.32,0.00,4.28,260.00,107.50
"Milk, reduced fat (2%), with strawberry or vanilla flavor",cup,7.62,4.58,30.20,28.50,1.00,2.81,410.00,122.50
"Milk, low fat (1%) with strawberry or vanilla flavor",cup,7.75,2.28,31.93,31.65,0.00,1.45,287.50,110.00
"Milk, fat free (skim), with strawberry or vanilla flavor",cup,7.75,0.23,31.80,31.35,0.00,0.13,280.00,105.00
"Malted milk, chocolate, with 2% milk",cup,8.04,5.01,26.70,23.41,0.94,2.94,267.90,131.60
"Malted milk, natural flavor, with 2% milk",cup,9.75,5.90,23.76,19.86,0.00,3.38,312.55,171.55
"Malted milk, natural flavor, with whole milk",cup,9.47,8.81,23.64,19.79,0.00,4.92,300.80,169.20
"Malted milk, fortified, natural flavor, with whole milk",cup,8.58,7.29,25.94,22.72,0.47,4.16,314.90,211.50
"Malted milk, fortified, natural flavor, with 2% milk",cup,8.88,4.54,25.94,22.75,0.47,2.85,329.00,220.90
"Malted milk, fortified, natural flavor, with skim milk",cup,9.05,0.42,26.25,22.77,0.47,0.25,333.70,209.15
"Malted milk, fortified, chocolate, with skim milk",cup,8.20,0.80,26.44,24.11,0.94,0.49,345.45,202.10
"Malted milk, fortified, chocolate, with whole milk",cup,7.73,7.66,26.13,24.06,0.94,4.40,326.65,204.45
"Malted milk, fortified, chocolate, with 2% milk",cup,8.06,4.91,26.13,24.09,0.94,3.09,343.10,211.50
"Malted milk, fortified, chocolate, with 1% milk",cup,8.20,2.73,26.56,24.39,0.94,1.73,352.50,206.80
"Eggnog, with whole milk",cup,11.56,10.64,20.45,20.45,0.00,6.58,330.20,137.16
"Eggnog, with 2% milk ",cup,12.04,8.05,16.54,16.81,0.00,3.89,269.24,154.94
"Milk shake,  fountain-type, chocolate, with whole milk",milkshake (10 fl oz),8.89,14.01,60.68,51.39,2.26,8.35,268.85,161.31
"Milk shake,  fountain-type, chocolate, with 2% milk",milkshake (10 fl oz),9.14,12.00,60.68,51.39,2.26,7.38,280.17,166.97
"Milk shake,  fountain-type, chocolate, with low fat milk",milkshake (10 fl oz),9.25,10.39,60.96,51.62,2.26,6.39,288.66,161.31
"Milk shake,  fountain-type, vanilla or strawberry, with whole milk",milkshake (10 fl oz),7.58,13.27,60.70,38.35,0.85,7.94,274.51,138.67
"Milk shake,  fountain-type, vanilla or strawberry, with 2% milk",milkshake (10 fl oz),7.92,9.73,61.01,38.60,0.85,6.03,291.49,138.67
