foodname,portiondesc,Protein,Total Fat,Carbohydrate,Total Sugar,Dietary Fiber,Saturated Fat,Calcium,Sodium
"Chopped sirloin beef frozen meal, with gravy, mashed potatoes, and vegetable (Swanson)",meal (10.5 oz),23.60,23.81,39.10,5.93,5.07,11.27,44.70,1671.78
"Chopped sirloin beef frozen meal, with gravy, mashed potatoes, and vegetable (Swanson)",Swanson meal (14.75 oz),33.10,33.40,54.84,8.32,7.11,15.80,62.70,2344.92
"Sirloin tips frozen meal, with gravy, potatoes, and vegetable (Budget Gourmet)",meal (10 oz),23.43,16.13,20.05,3.98,3.12,6.33,36.92,752.57
"Salisbury steak frozen meal, with gravy, potatoes, and vegetable (Armour, Kraft)",Armour meal (11 oz),21.62,26.18,35.07,5.05,4.06,13.03,49.92,833.04
"Salisbury steak frozen meal, with gravy, potatoes, and vegetable (Armour, Kraft)",Kraft meal (9 oz),17.67,21.39,28.66,4.13,3.31,10.65,40.80,680.82
"Salisbury steak frozen meal, with gravy, whipped potatoes, vegetable, and dessert (Swanson, Morton)",Morton Salisbury Steak Dinner (11.25 oz),24.31,21.40,39.17,7.46,2.55,8.29,82.94,1786.34
"Salisbury steak frozen meal, with gravy, whipped potatoes, vegetable, and dessert (Swanson, Morton)",Swanson Salisbury Steak Dinner (11 oz),23.77,20.94,38.31,7.30,2.50,8.11,81.12,1747.20
"Salisbury steak frozen meal, with gravy, potatoes, vegetable, soup or macaroni and cheese, and dessert",meal (15.5 oz),29.06,21.77,42.93,11.37,4.39,9.69,105.36,1479.40
"Salisbury steak frozen meal, with large meat portion, gravy, potatoes, vegetable, and dessert (Swanson Hungry Man)",meal (16.5 oz),52.18,34.96,65.70,12.03,7.49,12.06,145.08,1806.44
"Salisbury steak frozen meal, with gravy, macaroni and cheese, and vegetable (Budget Gourmet)",meal (11.5 oz),35.47,25.10,34.52,5.02,3.59,11.17,234.71,1235.50
"Salisbury steak frozen meal, with gravy, and macaroni and cheese (Swanson)",meal (10 oz),30.53,24.00,57.00,5.17,3.69,9.51,329.43,1059.28
"Salisbury steak diet frozen meal, with potatoes, vegetable, and dessert (Healthy Choice)",meal (12.5 oz),16.74,9.88,44.75,28.36,4.60,3.63,49.56,484.98
"Beef pot roast frozen meal, with gravy, potatoes, and vegetable (Banquet, Marie Callender's, Michelina's, Swanson, Stouffer's)",Banquet meal (9.5 oz),21.68,19.48,18.99,2.02,2.15,5.47,26.90,817.76
"Beef pot roast frozen meal, with gravy, potatoes, and vegetable (Banquet, Marie Callender's, Michelina's, Swanson, Stouffer's)",Marie Callender's dinner (14.5 oz),33.13,29.76,29.02,3.08,3.29,8.36,41.10,1249.44
"Beef pot roast frozen meal, with gravy, potatoes, and vegetable (Banquet, Marie Callender's, Michelina's, Swanson, Stouffer's)",Michelina's dinner (10 oz),22.89,20.56,20.05,2.13,2.27,5.78,28.40,863.33
"Beef pot roast frozen meal, with gravy, potatoes, and vegetable (Banquet, Marie Callender's, Michelina's, Swanson, Stouffer's)",Stouffer's meal (8-7/8 oz),20.31,18.24,17.79,1.89,2.02,5.13,25.20,766.08
"Beef pot roast frozen meal, with gravy, potatoes, and vegetable (Banquet, Marie Callender's, Michelina's, Swanson, Stouffer's)",Stouffer's dinner (14 oz),32.00,28.74,28.03,2.98,3.18,8.08,39.70,1206.88
"Beef pot roast frozen meal, with gravy, potatoes, and vegetable (Banquet, Marie Callender's, Michelina's, Swanson, Stouffer's)",Swanson dinner (12.75 oz),29.10,26.14,25.49,2.71,2.89,7.35,36.10,1097.41
"Beef short ribs frozen meal, with barbecue sauce, potatoes, and vegetable (Armour)",meal (10.5 oz),27.18,16.96,46.94,22.47,4.47,7.50,71.52,703.28
"Swedish meatballs frozen meal, with sauce, and noodles (Budget Gourmet)",meal (10 oz),31.75,29.48,36.35,4.29,1.70,12.59,139.16,840.61
"Swedish meatballs diet frozen meal, with gravy, and noodles (Lean Cuisine, Weight Watchers Smart Ones, Michelina's Lean Gourmet)",meal (9.1 oz),24.56,8.64,27.63,3.33,2.58,3.05,61.92,650.16
"Salisbury steak diet frozen meal, baked, with tomato sauce, and vegetable (Lean Cuisine, Weight Watchers Smart Ones)",meal (9.5 oz),24.21,15.25,12.67,4.79,2.15,5.89,137.19,699.40
"Salisbury steak diet frozen meal, baked, with tomato sauce, and vegetable (Lean Cuisine, Weight Watchers Smart Ones)",Weight Watchers meal (9.5 oz),24.21,15.25,12.67,4.79,2.15,5.89,137.19,699.40
"Beef frozen meal, with rice or spaetzle, and vegetable (Stouffer, Budget Gourmet)",Stouffer's meal (10.5 oz),20.89,12.96,37.22,3.93,1.49,3.83,26.82,831.42
"Beef frozen meal, with rice or spaetzle, and vegetable (Stouffer, Budget Gourmet)",Budget Gourmet (8.5 oz),16.89,10.48,30.10,3.18,1.21,3.10,21.69,672.39
"Veal parmigiana frozen meal, with spaghetti, in tomato sauce (Stouffer's)",Stouffer's meal (11.6 oz),20.92,20.60,39.18,6.68,3.62,4.92,82.25,1233.75
"Veal parmigiana diet frozen meal, with vegetable (Weight Watchers)",meal (9 oz),20.53,8.77,7.67,5.64,1.78,4.67,254.99,479.38
"Veal parmigiana frozen meal, with vegetable, fettuccine alfredo, and dessert (Swanson)",meal (12.75 oz),22.35,24.87,47.90,17.76,3.97,8.76,270.74,1386.20
Chicken divan frozen meal (Stouffer),meal (9.5 oz),24.16,24.69,18.29,8.29,1.35,10.03,287.83,750.51
"Boneless chicken frozen meal,with large meat portion, gravy, dressing, rice, vegetable, and dessert (Swanson Hungry Man)",meal (17.75 oz),46.63,28.62,105.08,26.96,7.55,8.07,115.69,1343.01
"Chicken and noodles frozen meal, with vegetable, and dessert",meal (10.25 oz),16.06,13.85,52.09,13.44,3.78,3.42,43.65,1143.63
"Fried chicken frozen meal, with potatoes, and vegetable (Banquet)",meal (11 oz),32.79,28.49,33.20,3.87,4.06,9.76,81.12,1369.68
"Chicken nuggets (chicken patty) frozen meal, with potatoes and vegetable (Banquet Select)",Banquet meal (6.75 oz),20.40,19.75,34.80,2.96,3.06,3.85,17.19,844.18
"Chicken parmigiana frozen meal, with fettuccine alfredo, and vegetable (Marie Callender's)",Marie Callender's dinner (16 oz),42.72,25.79,38.23,6.40,5.45,8.63,181.60,1194.02
"Chicken nuggets (chicken patty) frozen meal, with pasta and tomato sauce, fruit, and dessert (Kid Cuisine)",meal (6.80 oz),9.46,13.51,47.55,19.76,3.09,2.79,30.88,818.28
"Fried chicken frozen meal, with potatoes, vegetable, and dessert (Swanson)",Swanson meal (11 oz),31.14,27.52,42.00,11.29,4.06,9.05,96.72,1326.00
"Fried chicken frozen meal, with large meat portion, potatoes, vegetable, and dessert (Banquet Hearty Ones, Swanson Hungry Man, Swanson Hungry Man)",Banquet meal (16.5 oz),53.07,49.70,85.92,23.73,7.02,11.98,88.92,1843.88
"Fried chicken frozen meal, with large meat portion, potatoes, vegetable, and dessert (Banquet Hearty Ones, Swanson Hungry Man, Swanson Hungry Man)",Swanson meal (16.5 oz),53.07,49.70,85.92,23.73,7.02,11.98,88.92,1843.88
"Chicken parmigiana diet frozen meal, with vegetable (Weight Watchers)",meal (8 oz),22.30,17.70,14.87,3.57,2.71,6.17,271.19,971.76
"Teriyaki chicken diet frozen meal, with rice and vegetable (Lean Cuisine, Weight Watchers Smart Ones, Uncle Ben's Rice Bowl)",Lean Cuisine meal (11 oz),17.63,4.87,70.08,12.70,2.18,1.02,40.56,1038.96
"Teriyaki chicken diet frozen meal, with rice and vegetable (Lean Cuisine, Weight Watchers Smart Ones, Uncle Ben's Rice Bowl)",Weight Watchers meal (10.5 oz),16.78,4.63,66.71,12.09,2.08,0.97,38.61,989.01
"Teriyaki chicken diet frozen meal, with rice and vegetable (Lean Cuisine, Weight Watchers Smart Ones, Uncle Ben's Rice Bowl)",Uncle Ben's Rice Bowl (12 oz),19.21,5.30,76.36,13.84,2.38,1.11,44.20,1132.17
"Chicken diet frozen meal, with rice-vegetable mixture (Lean Cuisine)",meal (8.5 oz),25.09,7.95,25.14,3.64,1.93,1.75,33.74,809.76
"Chicken a la king frozen meal, with rice (Stouffer)",Le Menu meal (10.25 oz),20.11,22.70,43.65,4.37,1.46,7.93,113.49,1158.18
"Chicken a la king frozen meal, with rice (Stouffer)",Stouffer's meal (9.5 oz),18.59,20.98,40.35,4.04,1.35,7.33,104.91,1070.62
Chicken a la king diet frozen meal (Weight Watchers),meal (9 oz),26.85,8.06,15.25,6.27,2.04,1.83,122.40,637.48
"Chicken au gratin diet frozen meal, with rice-vegetable mixture (Budget Gourmet)",entree (9.1 oz),29.08,13.18,19.63,2.48,2.06,7.37,247.68,1081.02
Sweet and sour chicken diet frozen meal (Weight Watchers),meal (9 oz),17.39,4.08,25.47,12.67,3.31,1.09,56.10,879.72
"Chicken chow mein diet frozen meal, with rice (Lean Cuisine)",Healthy Choice meal (8.5 oz),14.60,4.77,28.58,3.69,1.45,1.34,36.15,788.07
"Chicken chow mein diet frozen meal, with rice (Lean Cuisine)",Lean Cuisine meal (11.25 oz),19.33,6.32,37.83,4.88,1.91,1.77,47.85,1043.10
"Chicken fettucini diet frozen meal (Healthy Choice, Weight Watchers Smart Ones, Lean Cuisine)",Healthy Choice meal (8.5 oz),26.34,6.89,28.05,0.75,1.69,1.51,26.51,238.59
"Chicken fettucini diet frozen meal (Healthy Choice, Weight Watchers Smart Ones, Lean Cuisine)",Lean Cuisine meal (9.25 oz),28.64,7.49,30.50,0.81,1.83,1.64,28.82,259.38
"Chicken fettucini diet frozen meal (Healthy Choice, Weight Watchers Smart Ones, Lean Cuisine)",Weight Watchers meal (10 oz),30.93,8.09,32.94,0.88,1.98,1.77,31.13,280.17
Chicken cacciatore frozen meal (Banquet Gourmet),meal (10 oz),20.13,5.91,37.94,10.02,2.84,1.34,34.08,604.90
"Chicken and vegetable with noodles diet frozen meal (Lean Cuisine, Jenny's Cuisine, Healthy Choice) ",Healthy Choice meal (8.5 oz),18.10,4.80,21.88,4.58,3.62,1.36,48.20,537.43
"Chicken and vegetable with noodles diet frozen meal (Lean Cuisine, Jenny's Cuisine, Healthy Choice) ",Lean Cuisine meal (11.75 oz),25.01,6.63,30.24,6.33,5.00,1.87,66.60,742.59
"Chicken and vegetable with noodles diet frozen meal (Lean Cuisine, Jenny's Cuisine, Healthy Choice) ",Jenny's Cuisine meal (9.25 oz),19.68,5.21,23.79,4.98,3.93,1.48,52.40,584.26
"Chicken diet frozen meal, in butter sauce, with potatoes and vegetable",meal (9.25 oz),49.05,6.42,11.82,1.15,2.36,2.11,49.78,238.42
"Chicken frozen meal, in mushroom sauce, with white and wild rice, and vegetable",meal (10.75 oz),24.37,17.05,30.38,3.60,3.66,9.67,67.10,963.77
"Chicken frozen meal, in soy-based sauce, with rice and vegetables",meal (9 oz),17.16,2.24,45.95,3.77,2.55,0.68,40.80,895.01
"Chicken diet frozen meal, in orange sauce, with almond rice (Lean Cuisine)",meal (8 oz),25.74,4.97,36.80,10.90,0.91,1.22,38.59,674.19
Chicken and vegetable with noodles and cream sauce frozen meal (Budget Gourmet),meal (10 oz),24.74,14.82,30.05,4.60,2.84,6.19,159.03,142.00
"Turkey diet frozen meal, with dressing, gravy, vegetable, and fruit (Healthy Choice)",meal (10.5 oz),20.50,4.68,53.37,29.17,4.17,1.37,116.22,432.10
"Turkey diet frozen meal, with vegetable and stuffing (Weight Watchers, Healthy Choice)",Healthy Choice meal (10 oz),26.38,5.17,29.93,9.91,3.98,1.44,65.32,573.66
"Turkey diet frozen meal, with vegetable and stuffing (Weight Watchers, Healthy Choice)",Weight Watchers meal (8.5 oz),22.39,4.39,25.40,8.41,3.37,1.22,55.43,486.82
"Turkey frozen meal, with gravy, dressing, potatoes, and vegetable (Banquet Value, Swanson)",Banquet meal (9.25 oz),18.26,10.19,42.76,12.63,3.41,2.30,70.74,854.12
"Turkey frozen meal, with gravy, dressing, potatoes, and vegetable (Banquet Value, Swanson)",Swanson meal (11.75 oz),23.21,12.95,54.35,16.05,4.33,2.92,89.91,1085.58
"Turkey frozen meal, with large meat portion, gravy, dressing, potatoes, vegetable, and dessert (Swanson Hungry Man)",meal (18.5 oz),33.96,15.09,64.19,34.64,7.86,4.97,78.60,1624.40
Turkey tetrazzini frozen meal (Stouffer),meal (10 oz),21.84,16.87,35.78,5.91,2.56,5.47,136.32,871.85
"Fish diet frozen meal, with creamy spinach parmesan sauce",meal (9 oz),23.25,6.25,10.96,6.04,1.02,2.98,232.04,632.38
"Fish diet frozen meal, with creamy parmesan sauce and broccoli",meal (12.4 oz),23.13,5.76,18.74,8.21,3.16,2.43,256.22,828.34
"Fish diet frozen meal, with peas and carrots",meal (8.5 oz),21.14,19.40,18.51,4.96,3.62,3.61,48.20,1185.72
"Fish frozen meal, with lemon-butter sauce, rice, and vegetable",meal (10 oz),15.62,10.65,32.01,3.98,3.69,4.13,34.08,1383.03
"Fish frozen meal, with breaded fish or fish sticks, pasta, vegetable and dessert",meal,8.59,15.37,51.21,18.74,3.12,6.00,39.52,355.68
"Scallops frozen meal, with potatoes and vegetable",meal (8 oz),25.08,15.41,35.12,3.68,5.22,3.50,74.91,803.58
"Shrimp frozen meal, with rice and vegetable",meal (11 oz),13.07,3.78,51.01,6.93,4.37,0.73,84.24,1397.76
"Shrimp and clam marinara frozen meal, with noodles (Budget Gourmet)",meal (10 oz),21.92,6.99,34.65,4.94,3.41,3.17,113.60,789.49
Shrimp primavera diet frozen meal,meal (11 oz),16.38,5.34,42.15,5.71,4.68,1.65,99.84,1425.84
"Meat loaf frozen meal, with potatoes and vegetable (Banquet, Marie Callender's, Stouffer's)",Banquet meal (9.5 oz),17.78,19.91,25.96,7.67,2.69,6.38,121.05,997.99
"Meat loaf frozen meal, with potatoes and vegetable (Banquet, Marie Callender's, Stouffer's)",Marie Callender's dinner (14 oz),24.46,27.38,35.71,10.55,3.70,8.78,166.50,1372.70
"Meat loaf frozen meal, with potatoes and vegetable (Banquet, Marie Callender's, Stouffer's)",Stouffer's dinner (17 oz),31.86,35.67,46.51,13.74,4.82,11.43,216.90,1788.22
Stuffed green pepper frozen meal (Green Giant),meal (14 oz),19.37,17.39,36.76,8.89,4.76,5.21,162.77,1151.30
Stuffed green pepper diet frozen meal (Weight Watchers),meal (11.75 oz),23.21,8.59,30.47,7.66,3.33,3.57,39.96,1601.73
Stuffed cabbage diet frozen meal (Lean Cuisine),meal (10.75 oz),16.93,9.55,21.14,6.31,2.74,3.48,67.10,692.33
"Broth, beef",cup,2.74,0.53,0.10,0.00,0.00,0.26,14.40,892.76
"Broth, beef, low sodium",cup,4.80,1.44,2.88,0.31,0.00,0.43,9.60,72.00
"Broth, beef, dry (bouillon)",cube,0.57,0.32,0.85,0.60,0.00,0.16,2.16,611.35
"Broth, beef, dry (bouillon), low sodium",cube,0.60,0.50,2.34,0.52,0.01,0.12,6.73,38.41
"Chili beef soup, chunky style",cup,16.66,6.67,15.29,0.89,4.32,2.51,33.60,784.77
"Meatball soup, Mexican style",cup,16.21,10.90,23.44,2.94,4.03,3.42,45.03,606.72
"Beef noodle soup, Puerto Rican style",cup,14.70,3.13,15.38,2.13,2.25,1.14,35.00,1065.00
"Beef and rice noodle soup, Oriental style (Vietnamese Pho Bo)",cup,14.98,5.47,25.23,1.98,1.22,1.62,26.84,1195.55
Pepperpot (tripe) soup,cup,6.12,4.46,9.04,0.00,0.48,1.98,26.51,927.85
"Beef vegetable soup with potato, stew type, chunky style",cup,9.53,2.66,24.19,1.61,1.44,1.33,31.20,861.56
"Beef noodle soup, chunky style",cup,15.19,4.03,13.01,0.82,0.96,1.39,26.40,823.17
"Beef vegetable soup with noodles, stew type, chunky style",cup,9.62,2.83,26.97,1.56,1.44,1.31,31.20,796.77
"Beef vegetable soup with rice, stew type, chunky style",cup,9.29,2.52,27.50,1.49,1.44,1.24,31.20,796.77
"Beef vegetable soup, Mexican style",cup,18.93,5.28,11.66,4.45,2.87,1.76,54.97,831.72
"Meat and corn hominy soup, Mexican style (Pozole)",cup,17.83,9.81,12.16,3.71,0.95,3.09,19.04,602.11
Italian Wedding Soup,cup,11.64,6.51,15.54,3.64,1.71,2.29,102.48,932.04
"Pork and vegetable soup with potatoes, stew type, chunky style",cup,12.53,2.38,16.34,6.14,4.32,0.74,67.20,1156.75
"Scotch broth (lamb, vegetables, and barley)",cup,4.89,2.58,9.33,0.63,1.21,1.10,19.28,1000.15
"Broth, chicken, condensed, prepared",cup,1.54,0.50,1.06,1.03,0.00,0.03,9.60,890.36
"Broth, chicken, homemade",cup,6.05,2.88,8.47,3.79,0.00,0.77,7.20,343.19
"Broth, chicken, dry (bouillon)",cube,0.67,0.56,0.72,0.69,0.00,0.14,7.48,743.44
"Broth, chicken, Mexican style",cup,5.69,3.12,18.73,7.48,3.39,0.68,53.24,660.63
"Chicken rice soup, Puerto Rican style",cup,16.30,2.38,18.94,1.06,1.98,0.59,22.00,829.40
"Chicken soup with noodles and potatoes, Puerto Rican style",cup,15.18,2.22,19.03,1.21,2.20,0.55,22.00,840.40
Chicken gumbo soup,cup,2.64,1.44,8.37,2.49,1.95,0.32,24.40,954.00
"Chicken noodle soup, chunky style",cup,7.42,2.78,9.60,0.91,1.92,1.50,26.40,734.37
Chicken soup,cup,3.06,2.29,7.11,0.65,0.48,0.63,14.46,638.65
"Chicken corn soup with noodles, home recipe",cup,11.97,3.76,18.42,3.39,1.51,0.65,22.59,768.03
"Chicken or turkey vegetable soup, stew type",cup,12.14,6.34,16.51,2.09,1.44,1.90,24.00,849.56
"Turkey noodle soup, chunky style",cup,14.80,5.69,16.12,1.25,1.42,1.40,30.68,856.64
"Chicken vegetable soup with rice, stew type, chunky style",cup,12.26,3.19,12.98,1.44,0.96,0.96,33.60,887.96
"Chicken vegetable soup with noodles, stew type, chunky style",cup,12.14,6.34,16.51,2.09,1.44,1.90,24.00,849.56
"Chicken or turkey vegetable soup, home recipe",cup,11.09,3.32,9.97,3.15,1.91,0.53,26.29,650.08
"Chicken vegetable soup with rice, Mexican style",cup,17.81,4.38,19.21,5.98,2.66,0.96,45.98,571.10
"Chicken or turkey and corn hominy soup, Mexican style (Pozole)",cup,19.18,4.62,12.16,3.71,0.95,1.10,14.28,594.98
Hot and sour soup,cup,6.29,2.95,10.61,1.02,1.22,0.56,46.36,917.40
"Cream of chicken soup, reduced sodium, made with milk",cup,6.30,3.97,17.81,6.80,0.50,2.05,161.20,498.48
"Cream of chicken soup, reduced sodium, made with water",cup,2.22,1.61,11.76,0.49,0.49,0.62,17.08,446.50
"Cream of chicken soup, canned, reduced sodium, condensed",cup,4.52,5.07,18.72,1.25,1.00,1.41,27.61,1443.19
"Cream of chicken soup, made with milk",cup,7.02,9.52,14.90,6.97,0.00,3.53,163.68,925.04
"Cream of chicken soup, made with water",cup,2.95,7.15,8.86,0.66,0.00,2.10,21.96,873.48
"Cream of chicken soup, canned, condensed",cup,5.97,14.48,17.97,1.36,0.00,4.02,35.14,1643.98
"Fish stock, home recipe",cup,5.51,1.98,0.00,0.00,0.00,0.50,7.32,380.62
Fish chowder,cup,19.42,15.47,14.86,2.17,1.95,9.13,43.92,497.74
"Crab soup, tomato-base",cup,10.44,0.83,12.52,3.83,2.44,0.20,82.96,617.29
"Clam chowder, Manhattan",cup,7.25,3.38,18.81,4.01,2.88,2.11,67.20,1000.76
"Fish and vegetable soup, no potatoes",cup,12.88,3.15,3.68,1.80,0.75,0.54,67.50,802.50
"Fish soup, with potatoes",cup,13.18,3.16,6.36,0.94,0.72,0.54,65.07,776.02
"Clam chowder, New England, prepared with milk",cup,7.99,4.91,18.75,6.84,0.74,2.62,168.64,689.44
"Clam chowder, New England, prepared with water",cup,3.78,2.46,12.32,0.46,0.73,1.14,21.96,619.73
"Clam chowder, New England, canned, reduced sodium, ready-to-serve",cup,5.85,10.62,14.26,0.00,2.01,1.76,35.14,486.92
"Clam chowder, New England, canned, reduced sodium, ready-to-serve","Campbell's can (16 oz), ready-to-serve",10.58,19.20,25.79,0.00,3.63,3.18,63.56,880.76
"Cream of crab soup, made with milk",cup,12.45,6.35,4.22,2.58,0.50,3.45,128.96,758.88
Lobster bisque,cup,12.95,6.40,4.22,2.58,0.50,3.45,128.96,798.56
Oyster stew,cup,10.29,12.40,10.34,8.94,0.00,7.25,249.90,798.70
"Cream of shrimp soup, made milk",cup,6.89,8.01,13.99,6.50,0.25,4.79,171.12,877.92
"Cream of shrimp soup, made with water",cup,2.71,5.05,7.98,0.59,0.24,3.15,21.96,954.00
Shrimp gumbo,cup,15.91,4.61,11.32,4.39,2.20,2.13,163.47,1066.24
Seafood soup with potatoes and dark-green leafy vegetables,cup,10.81,2.95,10.03,2.61,1.95,0.50,70.76,646.57
"Seafood soup with potatoes, no carrots and/or dark-green vegetables",cup,11.00,3.00,9.59,2.34,1.71,0.51,70.76,658.77
"Seafood soup with carrots and/or dark-green leafy vegetables, no potatoes",cup,11.13,3.12,7.47,2.64,1.71,0.53,73.20,685.61
"Seafood soup with corn, no carrots, dark-green vegetables, or potatoes",cup,11.35,3.17,6.93,2.34,1.46,0.54,73.20,700.25
"Gelatin drink, powder, unflavored, unsweetened, reconstituted",cup,4.93,0.00,0.00,0.00,0.00,0.00,9.76,21.96
"Gelatin drink, powder, flavored, with low-calorie sweetener, reconstituted",Nutri System packet with 8 fl oz water,13.00,0.03,0.00,0.00,0.00,0.01,15.30,38.25
Bee pollen,teaspoon,1.21,0.25,2.18,1.79,0.39,0.17,4.05,0.25
"Gravy, poultry, canned or dry mix",cup,4.59,13.59,12.90,1.86,0.95,3.36,47.60,1009.08
"Gravy, beef, canned or dry mix",cup,8.74,5.50,11.21,0.49,0.93,2.69,13.98,1304.80
"Gravy, giblet",cup,11.23,9.69,11.26,1.05,0.95,2.54,28.56,1094.75
"Gravy, beef, home recipe made with meat drippings",cup,3.89,22.88,5.73,0.02,0.23,8.87,16.31,1262.86
"Gravy, beef, home recipe made with oil",cup,3.33,26.14,5.68,0.02,0.23,3.60,13.98,1111.41
"Gravy, beef, home recipe made without fat",cup,3.68,0.63,6.31,0.02,0.23,0.29,16.31,1232.57
"Gravy, beef, home recipe made with butter",cup,3.54,22.09,5.68,0.05,0.23,13.88,20.97,1276.84
"Gravy, poultry, home recipe made with meat drippings",cup,2.81,23.35,6.76,1.02,0.24,8.83,11.90,1289.91
"Gravy, poultry, home recipe made without fat",cup,2.50,0.62,7.47,1.12,0.24,0.05,11.90,1256.59
"Gravy, poultry, home recipe made with vegetable oil",cup,2.24,26.68,6.74,1.00,0.24,3.46,9.52,1132.83
"Gravy, poultry, home recipe made with butter",cup,2.48,22.54,6.71,1.02,0.24,13.96,16.66,1301.81
"Gravy, mushroom, canned or dry mix",cup,1.95,0.79,12.68,0.64,0.95,0.46,52.36,1299.43
"Gravy, redeye",cup,1.33,11.11,0.02,0.00,0.00,4.06,4.84,96.80
Oyster sauce,teaspoon,0.08,0.02,0.66,0.00,0.02,0.00,1.92,163.98
Mole poblano (sauce),cup,7.55,27.16,31.37,16.80,6.09,5.71,90.10,906.27
Mole verde (sauce),cup,11.31,15.21,14.52,6.73,4.50,2.62,47.70,744.62
"Egg, raw",cup,30.52,23.11,1.75,0.90,0.00,7.60,136.08,345.06
"Egg, raw",large egg(s),6.28,4.75,0.36,0.19,0.00,1.56,28.00,71.00
"Eggs, fried, no fat added",large egg(s),6.23,4.72,0.36,0.18,0.00,1.55,27.72,214.72
"Egg, baked, no fat added",large egg(s),5.17,3.84,0.84,0.73,0.00,1.32,35.10,170.10
"Egg, baked, with margarine",large egg(s),6.43,7.49,1.07,0.91,0.00,2.16,43.66,236.59
"Egg, baked, with butter",large egg(s),7.76,9.25,0.48,0.48,0.00,3.89,33.55,203.57
"Egg, baked, with vegetable oil ",large egg(s),7.74,9.85,0.48,0.47,0.00,2.40,32.70,181.69
"Egg, pickled",large egg(s),5.87,4.95,0.52,0.52,0.00,1.52,23.50,193.64
"Egg whites, cooked, no fat added",large egg white,3.58,0.06,0.24,0.23,0.00,0.00,2.31,105.60
"Egg whites, cooked, with margarine",large egg white,3.37,1.63,0.24,0.22,0.00,0.30,2.31,117.81
"Egg yolks, cooked, no fat added",large egg yolk,3.04,5.09,0.69,0.11,0.00,1.83,24.82,64.94
"Egg yolks, cooked, with margarine",large egg yolk,2.85,5.99,0.64,0.10,0.00,1.88,23.12,60.86
"Duck egg, cooked",egg,10.11,10.87,1.15,0.74,0.00,2.91,50.40,345.10
"Goose egg, cooked",egg,22.52,21.56,2.19,1.53,0.00,5.84,97.91,696.91
"Quail egg, canned",egg,1.32,1.13,0.04,0.04,0.00,0.36,6.48,43.83
"Egg, creamed",large egg(s),11.16,15.35,8.08,4.23,0.14,4.39,127.59,550.96
"Eggs Benedict, with margarine",portion with 1 large egg,19.61,34.95,12.63,1.50,0.93,17.59,93.00,757.95
"Eggs Benedict, no fat added",portion with 1 large egg,18.92,31.59,13.11,1.49,0.96,15.70,92.80,846.45
"Eggs Benedict, with vegetable oil ",portion with 1 large egg,18.54,34.08,12.85,1.46,0.94,15.80,90.98,829.80
"Egg, deviled",portion (1/2 large egg),3.57,4.93,0.33,0.33,0.00,1.22,14.26,133.30
"Egg salad, with mayonnaise  ",cup,22.78,51.37,2.24,2.24,0.00,10.89,93.24,841.38
"Egg salad, with low calorie mayonnaise-type dressing (miracle whip light)",cup,20.01,29.12,17.77,4.64,0.00,7.03,86.68,894.20
"Egg salad, with mayonnaise-type dressing (miracle whip)",cup,19.94,38.92,17.90,6.05,0.00,8.34,86.46,910.23
"Egg salad, with fat free mayonnaise-type dressing (miracle whip free)",cup,18.96,17.81,12.80,9.07,1.37,5.32,79.25,983.25
"Egg salad, with cholesterol free mayonnaise ",cup,20.04,38.67,6.21,4.54,0.00,8.14,77.38,921.47
"Egg salad, with low calorie mayonnaise",cup,19.17,29.56,12.99,5.93,0.00,7.26,75.51,771.78
"Egg salad, with imitation mayonnaise",cup,19.41,29.39,12.70,5.83,0.00,7.25,76.49,767.51
Huevos rancheros,egg,8.12,7.65,10.34,2.81,2.01,1.98,57.82,526.24
"Egg casserole with bread, cheese, milk and sausage",cup,20.63,24.38,17.61,4.58,0.98,10.39,321.42,874.07
Chicken egg foo yung ,cup,22.75,11.43,7.91,5.95,0.35,3.09,57.75,589.75
Pork egg foo yung ,patty,11.42,6.91,3.89,2.92,0.17,2.12,30.96,284.66
Shrimp egg foo yung ,patty,10.04,5.12,4.25,2.93,0.17,1.44,47.30,486.76
Beef egg foo yung ,patty,11.88,6.77,3.89,2.92,0.17,2.10,28.38,280.36
"Ripe plantain omelet, Puerto Rican style ",large egg(s),5.59,12.55,15.38,7.24,1.11,2.43,23.80,365.50
"Eggs a la Malaguena, Puerto Rican style",large egg(s),10.41,5.69,6.13,2.98,2.09,1.82,43.05,895.44
Shrimp-egg patty ,"patty (2"" across)",4.55,5.72,1.89,0.20,0.11,1.08,22.14,217.26
"Egg custard, with water and sugar, Puerto Rican style",cup,14.26,20.93,156.29,153.83,0.00,7.45,106.00,74.20
Zabaglione,cup,2.80,4.59,17.44,15.12,0.00,1.65,24.60,11.40
Fried egg sandwich,sandwich,10.71,8.10,26.22,2.84,1.44,2.24,164.16,348.48
"Egg, cheese, and ham on English muffin (Egg McMuffin)",Great Starts sandwich (4.4 oz),17.05,12.08,27.09,2.66,0.50,4.49,240.00,771.25
"Egg, cheese, and ham on English muffin (Egg McMuffin)",sandwich,17.73,12.56,28.17,2.77,0.52,4.67,249.60,802.10
"Egg, cheese, and ham on English muffin (Egg McMuffin)",McDonald's McMuffin,18.41,13.04,29.25,2.88,0.54,4.85,259.20,832.95
"Egg, cheese, and ham on English muffin (Egg McMuffin)",Jack-in-the-Box Breakfast Jack,17.19,12.17,27.30,2.68,0.50,4.53,241.92,777.42
